,file,artist,genre,style,Dir,image,artist_name,image_description
0,DATA/Baroque/rembrandt_the-angel-appearing-to-the-shepherds-1634.jpg,20,136,144,Baroque,rembrandt_the-angel-appearing-to-the-shepherds-1634.jpg,rembrandt,the angel appearing to the shepherds 
1,DATA/Baroque/rembrandt_sick-woman-with-a-large-white-headdress-saskia.jpg,20,137,144,Baroque,rembrandt_sick-woman-with-a-large-white-headdress-saskia.jpg,rembrandt,sick woman with a large white headdress saskia
2,DATA/Baroque/rembrandt_portrait-of-margeretha-de-geer-1661.jpg,20,135,144,Baroque,rembrandt_portrait-of-margeretha-de-geer-1661.jpg,rembrandt,portrait of margeretha de geer 
3,DATA/Baroque/rembrandt_portrait-of-clement-de-jonge-1651.jpg,20,135,144,Baroque,rembrandt_portrait-of-clement-de-jonge-1651.jpg,rembrandt,portrait of clement de jonge 
4,DATA/Baroque/rembrandt_portrait-of-joris-de-caullery-1632.jpg,20,135,144,Baroque,rembrandt_portrait-of-joris-de-caullery-1632.jpg,rembrandt,portrait of joris de caullery 
5,DATA/Baroque/rembrandt_self-portrait-1659-1.jpg,20,139,144,Baroque,rembrandt_self-portrait-1659-1.jpg,rembrandt,self portrait 1659 
6,DATA/Baroque/rembrandt_cupid-blowing-soap-bubbles-1634.jpg,20,139,144,Baroque,rembrandt_cupid-blowing-soap-bubbles-1634.jpg,rembrandt,cupid blowing soap bubbles 
7,DATA/Baroque/rembrandt_the-jewish-bride-1666.jpg,20,131,144,Baroque,rembrandt_the-jewish-bride-1666.jpg,rembrandt,the jewish bride 
8,DATA/Baroque/rembrandt_old-man-in-meditation-leaning-on-a-book-1645.jpg,20,137,144,Baroque,rembrandt_old-man-in-meditation-leaning-on-a-book-1645.jpg,rembrandt,old man in meditation leaning on a book 
9,DATA/Baroque/rembrandt_self-portrait-open-mouthed-1630.jpg,20,139,144,Baroque,rembrandt_self-portrait-open-mouthed-1630.jpg,rembrandt,self portrait open mouthed 
10,DATA/Baroque/rembrandt_man-with-a-magnifying-glass-1629.jpg,20,135,144,Baroque,rembrandt_man-with-a-magnifying-glass-1629.jpg,rembrandt,man with a magnifying glass 
11,DATA/Baroque/rembrandt_moses-smashing-the-tablets-of-the-law-1659.jpg,20,136,144,Baroque,rembrandt_moses-smashing-the-tablets-of-the-law-1659.jpg,rembrandt,moses smashing the tablets of the law 
12,DATA/Baroque/rembrandt_the-tribute-money-1635.jpg,20,136,144,Baroque,rembrandt_the-tribute-money-1635.jpg,rembrandt,the tribute money 
13,DATA/Baroque/rembrandt_self-portrait-as-a-young-man-1634.jpg,20,139,144,Baroque,rembrandt_self-portrait-as-a-young-man-1634.jpg,rembrandt,self portrait as a young man 
14,DATA/Baroque/rembrandt_portrait-of-willem-bartholsz-ruyter.jpg,20,135,144,Baroque,rembrandt_portrait-of-willem-bartholsz-ruyter.jpg,rembrandt,portrait of willem bartholsz ruyter
15,DATA/Baroque/rembrandt_self-portrait-in-velvet-cap-and-plume-1638.jpg,20,139,144,Baroque,rembrandt_self-portrait-in-velvet-cap-and-plume-1638.jpg,rembrandt,self portrait in velvet cap and plume 
16,DATA/Baroque/rembrandt_seated-old-man-possibly-rembrandt-s-father.jpg,20,137,144,Baroque,rembrandt_seated-old-man-possibly-rembrandt-s-father.jpg,rembrandt,seated old man possibly rembrandt s father
